fileName	Record	FieldHeading	Data
hydrinoProcessWeb	0	SearchTerms	hydrino process
hydrinoProcessWeb	0	Results	1740
hydrinoProcessWeb	0	TimeStamp	2018-07-19 21:33:27
hydrinoProcessWeb	1	title	Hydrinos explained
hydrinoProcessWeb	1	snippet	In 1986 Randell Mills MD developed a theory that hydrogen atoms could shrink, and release lots of energy in the process. He called the resultant entity a...
hydrinoProcessWeb	1	link	http://rvanspaa.freehostia.com/Hydrinos_explained.html
hydrinoProcessWeb	2	title	Move over Rossi. Blacklight Power is claiming megawatts from their ...
hydrinoProcessWeb	2	snippet	Jan 14, 2014 ... ... is claiming megawatts from their super-controversial hydrino process ... non- polluting product, lower-energy state hydrogen called Hydrino,...
hydrinoProcessWeb	2	link	https://www.nextbigfuture.com/2014/01/move-over-rossi-blacklight-power-is.html
hydrinoProcessWeb	3	title	Brilliant Light Power - Wikipedia
hydrinoProcessWeb	3	snippet	Brilliant Light Power, Inc. (BLP), formerly BlackLight Power, Inc. of Cranbury, New Jersey is a .... "Unlike most schemes for free energy, the hydrino process of Randy Mills is not without ample theory. Mills has written a 1000 page tome, entitled,...
hydrinoProcessWeb	3	link	https://en.wikipedia.org/wiki/Brilliant_Light_Power
hydrinoProcessWeb	4	title	Hydrino Theory The BlackLight Process | Brilliant Light Power
hydrinoProcessWeb	4	snippet	Jul 29, 2014 ... The stunning discovery of a 3.5 keV X-ray peak observed in the Perseus Cluster by NASA's Chandra X-ray Observatory and by the XMM-...
hydrinoProcessWeb	4	link	https://brilliantlightpower.com/hydrino-theory-the-blacklight-process/
hydrinoProcessWeb	5	title	Cold Fusion Lives: Experiments Create Energy When None Should ...
hydrinoProcessWeb	5	snippet	Nov 7, 2016 ... Mills named this curious new type of shrunken hydrogen the hydrino, and he has ... The excess energy from the process dissipated as heat.
hydrinoProcessWeb	5	link	https://www.scientificamerican.com/article/cold-fusion-lives-experiments-create-energy-when-none-should-exist1/
hydrinoProcessWeb	6	title	CIHT Cell | Brilliant Light Power
