fileName	Record	FieldHeading	Data
photoVoltPrintElecFund	0	SearchTerms	photovoltaic "printed electronics" "venture capital" OR "funding" OR "Investment"
photoVoltPrintElecFund	0	Results	5100
photoVoltPrintElecFund	0	TimeStamp	2015-09-09 13:06:20
photoVoltPrintElecFund	1	title	Printed Electronics USA 2009: Printed Electronics
photoVoltPrintElecFund	1	snippet	This year, IDTechEx is collocating Printed Electronics with Photovoltaics USA. ... High-quality investment opportunities and perspectives in printed electronics...
photoVoltPrintElecFund	1	link	http://www.idtechex.com/printedelectronicsusa09/en/
photoVoltPrintElecFund	2	title	Printed Photovoltaics Scott Watkins
photoVoltPrintElecFund	2	snippet	Scott Watkins, Stream Leader Organic Photovoltaics ... Printed Electronics at CSIRO ... Funding from the State Government of Victoria and the. Australian Solar ...
photoVoltPrintElecFund	2	link	http://www.mpifr-bonn.mpg.de/1192465/Watkins.pdf
photoVoltPrintElecFund	3	title	The Printed Electronics Industry Gets Going
photoVoltPrintElecFund	3	snippet	Apr 22, 2015 ... IDTechEx Research Article: The Printed Electronics Industry Gets Going. ... Investment up; more products launched and larger companies driving ... printed batteries, electrochromic displays and Organic Photovoltaics (OPV).
photoVoltPrintElecFund	3	link	http://www.idtechex.com/research/articles/the-printed-electronics-industry-gets-going-00007736.asp
photoVoltPrintElecFund	4	title	Printed electronics now_whitepaper
photoVoltPrintElecFund	4	snippet	Oct 12, 2012 ... Fall 09The Growing Market for Printed Electronics ... the PE market's poten al is that venture capital funding remains strong, despite thefact that ... Photovoltaic technology has been in development for more than 50 years. .... Based in Aus n, TX, HelioVolt has a racted more than $100 million in investment.
photoVoltPrintElecFund	4	link	http://www.slideshare.net/abderrahimrodani/printed-electronics-nowwhitepaper
photoVoltPrintElecFund	5	title	PV Nano Cell announces further expansion into the U.S. market ...
photoVoltPrintElecFund	5	snippet	May 29, 2015 ... PV Nano Cell (PVN) has announced that it is introducing its digital ink technology to the rapidly growing U.S. printed electronics (PE) market. PVN's Sicrys family ... $75 million DoD funding for flexible hybrid electronics hub.
