fileName	Record	FieldHeading	Data
photoVoltPrintElecSci	0	SearchTerms	photovoltaic "printed electronics"
photoVoltPrintElecSci	0	Results	309
photoVoltPrintElecSci	0	TimeStamp	2015-09-09 13:06:25
photoVoltPrintElecSci	1	title	Organic photovoltaic cells with all inkjet printed layers and freedom ...
photoVoltPrintElecSci	1	snippet	Large volume production of organic photovoltaics by roll-to-roll compatible ... the potential of inkjet printing for OPV as well as printed electronics in general.
photoVoltPrintElecSci	1	link	http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=6925523
photoVoltPrintElecSci	2	title	The role of paper in the future of printed electronics
photoVoltPrintElecSci	2	snippet	electronics, printed displays and photovoltaic devices. ... printed electronics and the technical issues involved. ... conventional printing and printed electronics. 3.
photoVoltPrintElecSci	2	link	http://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=AC9732DF6241ADEBCE0DD03B262F20CE?doi=10.1.1.492.4568&rep=rep1&type=pdf
photoVoltPrintElecSci	3	title	Online monitoring of printed electronics by Spectral-Domain Optical ...
photoVoltPrintElecSci	3	snippet	Mar 28, 2013 ... Online monitoring of printed electronics by Spectral-Domain Optical Coherence .... Gravure printed flexible organic photovoltaic modules.
photoVoltPrintElecSci	3	link	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3610099/
photoVoltPrintElecSci	4	title	Characteristics and evaluation criteria of substrate-based ...
photoVoltPrintElecSci	4	snippet	Is roll-to-roll the best solution for printed electronics? ..... Screen-printing is mostly used to manufacture organic photovoltaic [35] and [6], but source and drain...
photoVoltPrintElecSci	4	link	http://www.sciencedirect.com/science/article/pii/S1566119914001529
photoVoltPrintElecSci	5	title	Graphene applications with printed electronics technology
photoVoltPrintElecSci	5	snippet	Graphene applications with printed electronics technology ... elastic displays and photovoltaics, various types of sensors (pressure, temperature, biochemical)...
photoVoltPrintElecSci	5	link	http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=6698662
photoVoltPrintElecSci	6	title	Special Issue on Advanced Flexible Electronics for Sensing ...
photoVoltPrintElecSci	6	snippet	printed, flexible displays, photovoltaics,. This special ... Displays and PV as we have noted have been very ... printed electronics with conventional electronics. III .
photoVoltPrintElecSci	6	link	http://ieeexplore.ieee.org/iel7/5/7110409/07110428.pdf?arnumber=7110428
photoVoltPrintElecSci	7	title	Glucose Electrochemistry: Future Opportunities for Advancing ...
photoVoltPrintElecSci	7	snippet	Sep 1, 2011 ... Advancements in the field of printed electronics can be applied to the field .... Energy-harvesting devices (e.g., photovoltaic cells) have evolved...
photoVoltPrintElecSci	7	link	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3208863/
photoVoltPrintElecSci	8	title	Inkjet technology for crystalline silicon photovoltaics.
photoVoltPrintElecSci	8	snippet	Dec 6, 2014 ... Silicon photovoltaics is a technology that can harvest the energy of ... way into many other areas of functional printing and printed electronics.
photoVoltPrintElecSci	8	link	http://www.ncbi.nlm.nih.gov/pubmed/25482823
photoVoltPrintElecSci	9	title	Marios Neophytou - Google Scholar Citations
photoVoltPrintElecSci	9	snippet	Highly efficient indium tin oxide-free organic photovoltaics using inkjet-printed silver nanoparticle current collecting grids. M Neophytou, F Hermerschmidt,...
photoVoltPrintElecSci	9	link	http://scholar.google.com/citations?user=uZWBfYMAAAAJ&hl=en
photoVoltPrintElecSci	10	title	Inkjet printed electronics for multifunctional composite structure
photoVoltPrintElecSci	10	snippet	Inkjet printed electronics for multifunctional composite structure ..... Photovoltaic performance of amorphous silicon flexible solar modules under mechanical...
photoVoltPrintElecSci	10	link	http://www.sciencedirect.com/science/article/pii/S026635380900092X
photoVoltPrintElecSci	11	title	Formation of plasmonic colloidal silver for flexible and printed ...
photoVoltPrintElecSci	11	snippet	Organic and printed electronics promise to revolutionize the industries of ... by the production of large-scale and high-efficiency organic photovoltaics (OPV) and...
photoVoltPrintElecSci	11	link	http://www.sciencedirect.com/science/article/pii/S0169433214026701
photoVoltPrintElecSci	12	title	Graphene for energy harvesting/storage devices and printed ...
photoVoltPrintElecSci	12	snippet	Jan 23, 2012 ... Furthermore, graphene as a conductive ink for printed electronics is also ... Organic photovoltaic (OPV) devices are made of an organic layer...
photoVoltPrintElecSci	12	link	http://www.sciencedirect.com/science/article/pii/S1674200111002094
photoVoltPrintElecSci	13	title	Printed electronics: the challenges involved in printing devices ...
photoVoltPrintElecSci	13	snippet	technologies enables thin, lightweight and extremely cost-effi- cient electronic systems. Current market drivers are organic photovoltaics,2,3 flexible batteries,4, 5.
photoVoltPrintElecSci	13	link	http://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=9C2BA9DC723DFF97F00C048CF04AF41B?doi=10.1.1.463.1693&rep=rep1&type=pdf
photoVoltPrintElecSci	14	title	Filip Granek - Google Scholar Citations
photoVoltPrintElecSci	14	snippet	Shading effects in back-junction back-contacted silicon solar cells. M Hermle, F Granek, O Schultz-Wittmann, SW Glunz. Photovoltaic Specialists Conference...
photoVoltPrintElecSci	14	link	http://scholar.google.com/citations?user=GFWswCIAAAAJ&hl=en
photoVoltPrintElecSci	15	title	Coated Paper for Printed Electronics
photoVoltPrintElecSci	15	snippet	In order to prepare a suitable substrate for printed electronics, ..... 3 Cornell University: Organic Semiconductors Make Cheap, Flexible Photovoltaics And LEDs.
photoVoltPrintElecSci	15	link	http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.464.2914&rep=rep1&type=pdf
photoVoltPrintElecSci	16	title	Cover image
photoVoltPrintElecSci	16	snippet	Three-dimensional integrated circuit using printed electronics ... Enhanced photovoltaic performance of ZnO nanoparticle/poly(phenylene vinylene) hybrid...
photoVoltPrintElecSci	16	link	http://www.sciencedirect.com/science/journal/15661199/12/3
photoVoltPrintElecSci	17	title	Direct Desktop Printed-Circuits-on-Paper Flexible Electronics
photoVoltPrintElecSci	17	snippet	May 9, 2013 ... ... being paid with considerable attentions in printed electronics owing to ..... Schilinsky P. & Brabec C. J. High photovoltaic performance of inkjet...
photoVoltPrintElecSci	17	link	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3649038/
photoVoltPrintElecSci	18	title	Challenges of Printed Electronics on Flexible Substrates
photoVoltPrintElecSci	18	snippet	Abstract Printed electronics is an emerging technology that would likely complement ... photovoltaic panels, batteries, etc), power management circuits ( DC-DC...
photoVoltPrintElecSci	18	link	http://ieeexplore.ieee.org/iel5/6276898/6291930/06292087.pdf?arnumber=6292087
photoVoltPrintElecSci	19	title	Reliability Study on Adhesive Interconnections in Flex-to-Flex ...
photoVoltPrintElecSci	19	snippet	Dec 2, 2014 ... tions in flex-to-flex printed electronics applications under thermal cycling and .... strap and organic photovoltaic (OPV) mimetic test components,.
photoVoltPrintElecSci	19	link	http://ieeexplore.ieee.org/iel7/7298/6971050/06899652.pdf?arnumber=6899652
photoVoltPrintElecSci	20	title	A maskless synthesis of TiO2-nanofiber-based hierarchical ...
photoVoltPrintElecSci	20	snippet	Jan 10, 2014 ... Physical properties and photovoltaic parameters of plain nanofiber and .... His main areas of research comprise printed electronics, sensors,...
photoVoltPrintElecSci	20	link	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3895802/
photoVoltPrintElecSci	21	title	Organic Electronics | Open Access articles | ScienceDirect.com
photoVoltPrintElecSci	21	snippet	Charge carrier mobility of the organic photovoltaic materials PTB7 and PC71BM and its influence on ... Is roll-to-roll the best solution for printed electronics?
photoVoltPrintElecSci	21	link	http://www.sciencedirect.com/science/journal/15661199/open-access
photoVoltPrintElecSci	22	title	Colloidal CIGS and CZTS nanocrystals: A precursor route to printed ...
photoVoltPrintElecSci	22	snippet	Nov 10, 2011 ... CIGS PV layers are typically made using a high temperature (>450 ... Nanocrystals;; Photovoltaics;; Energy;; Sustainability;; Printed electronics...
photoVoltPrintElecSci	22	link	http://www.sciencedirect.com/science/article/pii/S0022459611005950
photoVoltPrintElecSci	23	title	Recyclable organic solar cells on cellulose nanocrystal substrates
photoVoltPrintElecSci	23	snippet	Mar 25, 2013 ... ... required to make photovoltaic technologies economically viable and, ..... an overreaching impact for the sustainability of printed electronics.
photoVoltPrintElecSci	23	link	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3607174/
photoVoltPrintElecSci	24	title	Vishal Shrotriya - Google Scholar Citations
photoVoltPrintElecSci	24	snippet	Solar Cells, Renewable Energy, Printed Electronics, Organic Electronics ... High- efficiency solution processable polymer photovoltaic cells by self-organization...
photoVoltPrintElecSci	24	link	http://scholar.google.com/citations?user=_eJuIbgAAAAJ&hl=en
photoVoltPrintElecSci	25	title	Guest Editorial Special Issue on Printable Sensors and Systems
photoVoltPrintElecSci	25	snippet	Printed electronics employs ... The advantages of printed electronics have been touted for years. ... beyond traditional photovoltaic solar cells and organic light.
photoVoltPrintElecSci	25	link	http://ieeexplore.ieee.org/iel7/7361/7086408/07105435.pdf?arnumber=7105435
photoVoltPrintElecSci	26	title	Cover image
photoVoltPrintElecSci	26	snippet	Organic photovoltaic devices incorporating a molybdenum oxide hole-extraction ... Fully printed electronics on flexible substrates: High gain amplifiers and DAC.
photoVoltPrintElecSci	26	link	http://www.sciencedirect.com/science/journal/15661199/15/3
photoVoltPrintElecSci	27	title	Quantitative operando visualization of the energy band depth profile ...
photoVoltPrintElecSci	27	snippet	Jul 13, 2015 ... (5)Division of Printed Electronics, Suzhou Institute of Nano-Tech and ... governs elementary photovoltaic processes, such as the generation,...
photoVoltPrintElecSci	27	link	http://www.ncbi.nlm.nih.gov/pubmed/26166580
photoVoltPrintElecSci	28	title	A mathematical model to predict surface roughness and pattern ...
photoVoltPrintElecSci	28	snippet	Nov 3, 2012 ... Roll-to-roll gravure printed electronics are increasingly common in a ... sensors, photovoltaics (solar cells), displays and lighting because of...
photoVoltPrintElecSci	28	link	http://www.sciencedirect.com/science/article/pii/S0736584512001226
photoVoltPrintElecSci	29	title	Donghoon Song - Google Scholar Citations
photoVoltPrintElecSci	29	snippet	Department of Chemical Engineering and Materials Science, University of Minnesota Printed electronics, Photovoltaics. Verified email at umn.edu - Homepage.
photoVoltPrintElecSci	29	link	http://scholar.google.com/citations?user=66AL--kAAAAJ&hl=en
photoVoltPrintElecSci	30	title	Technologies for Printing Sensors and Electronics over Large ...
photoVoltPrintElecSci	30	snippet	features of printed electronics have allowed researchers to .... This paper also evaluates printed electronics on the ...... flexible LEDs and photovoltaic devices.
photoVoltPrintElecSci	30	link	http://ieeexplore.ieee.org/iel7/7361/4427201/06974982.pdf?arnumber=6974982
