fileName	Record	FieldHeading	Data
photoVoltPrintElecPats	0	SearchTerms	photovoltaic "printed electronics"
photoVoltPrintElecPats	0	Results	2470
photoVoltPrintElecPats	0	TimeStamp	2015-09-09 13:06:18
photoVoltPrintElecPats	1	title	Patent US8378702 - Non-contact testing of printed electronics ...
photoVoltPrintElecPats	1	snippet	Feb 19, 2013 ... It is thus critical to know the quality of the printed electronics on the press .... 1 , the test circuit includes a first area (e.g., a photovoltaic segment)...
photoVoltPrintElecPats	1	link	http://www.google.com/patents/US8378702
photoVoltPrintElecPats	2	title	Patent US20150002346 - Integrated Printed Decorative Antenna ...
photoVoltPrintElecPats	2	snippet	Jan 1, 2015 ... ... control circuits comprise at least one of a photovoltaic cell, a battery, ..... other decorative picture circuits that may contain printed electronics...
photoVoltPrintElecPats	2	link	http://www.google.com/patents/US20150002346
photoVoltPrintElecPats	3	title	Patent US8691931 - Organic electronic devices and polymers ...
photoVoltPrintElecPats	3	snippet	Apr 8, 2014 ... Good photovoltaic efficiency and lifetime can be achieved. ... transistors, OFETs, batteries, and printed electronics generally, as well as sensors.
photoVoltPrintElecPats	3	link	http://www.google.com/patents/US8691931
photoVoltPrintElecPats	4	title	Patent US20130033810 - Printed electronics - Google Patents
photoVoltPrintElecPats	4	snippet	Feb 7, 2013 ... Printed electronics are increasingly finding uses in a great variety of ... that can be rolled or bent), photovoltaic devices, medical and diagnostic...
photoVoltPrintElecPats	4	link	http://www.google.com/patents/US20130033810
photoVoltPrintElecPats	5	title	Patent US20130009851 - Integrated photovoltaic cell and radio ...
photoVoltPrintElecPats	5	snippet	Jan 10, 2013 ... An integrated photovoltaic cell and RF antenna assembly is disclosed, the ... nano-materials, such as carbon nanotubes, or printed electronics.
photoVoltPrintElecPats	5	link	http://www.google.com/patents/US20130009851
photoVoltPrintElecPats	6	title	Patent US20120234922 - Solar powered rfid tags and method of ...
photoVoltPrintElecPats	6	snippet	Sep 20, 2012 ... wherein at least one amorphous silicon or organic photovoltaic solar .... Recent breakthroughs in printed electronics have allowed for low cost,...
photoVoltPrintElecPats	6	link	http://www.google.com/patents/US20120234922
photoVoltPrintElecPats	7	title	Patent EP2242786A1 - Novel compositions and methods including ...
photoVoltPrintElecPats	7	snippet	Oct 27, 2010 ... ... band gap materials including uses in organic photovoltaic active layers. ... photovoltaic devices (OPVs), and printed electronics generally.
photoVoltPrintElecPats	7	link	http://www.google.com/patents/EP2242786A1?cl=en
photoVoltPrintElecPats	8	title	Patent WO2014120093A1 - Electrically conductive ink composition ...
photoVoltPrintElecPats	8	snippet	Aug 7, 2014 ... To make printed electronics feasible for application in industry, the long ... printed circuits, organic light emitting displays, photovoltaics, printed...
photoVoltPrintElecPats	8	link	http://www.google.com/patents/WO2014120093A1?cl=en
photoVoltPrintElecPats	9	title	Patent WO2009048983A2 - Conductive nanoparticle inks and ...
photoVoltPrintElecPats	9	snippet	Apr 16, 2009 ... The device according to claim 11, is a photovoltaic device. ... photovoltaic devices, and any printed electronics devices on plastic substrates.
photoVoltPrintElecPats	9	link	http://www.google.com/patents/WO2009048983A2?cl=en
photoVoltPrintElecPats	10	title	Patent US20070207565 - Processes for forming photovoltaic ...
photoVoltPrintElecPats	10	snippet	Sep 6, 2007 ... Processes for forming photovoltaic features and in particular photovoltaic ... Compositions and processes for manufacturing printed electronics.
photoVoltPrintElecPats	10	link	http://www.google.com/patents/US20070207565
photoVoltPrintElecPats	11	title	Patent US8313173 - Compositions and processes for manufacturing ...
photoVoltPrintElecPats	11	snippet	Nov 20, 2012 ... Compositions and processes for manufacturing printed electronics .... optoelectronics, photovoltaics, microelectronic mechanical systems...
photoVoltPrintElecPats	11	link	http://www.google.com/patents/US8313173
photoVoltPrintElecPats	12	title	Patent WO2012058209A1 - Organic electronic devices, including ...
photoVoltPrintElecPats	12	snippet	May 3, 2012 ... Organic electronic devices, including organic photovoltaic devices, polymers, ...... In addition, printed electronics are generally known in the art.
photoVoltPrintElecPats	12	link	http://www.google.com/patents/WO2012058209A1?cl=en
photoVoltPrintElecPats	13	title	Compositions and processes for manufacturing printed electronics
photoVoltPrintElecPats	13	snippet	Mar 26, 2009 ... Compositions and processes for manufacturing printed electronics ... 2007, Cabot Corporation, Processes for forming photovoltaic features...
photoVoltPrintElecPats	13	link	https://www.google.com/patents/WO2009038766A1?cl=en22
photoVoltPrintElecPats	14	title	Patent CA2764516C - Microporous materials suitable as substrates ...
photoVoltPrintElecPats	14	snippet	Jun 3, 2014 ... [0003] Printed electronics is quickly becoming an area of increasing ... limited to RFID antennas, photovoltaic cells, electrical connectors, or any...
photoVoltPrintElecPats	14	link	http://www.google.com/patents/CA2764516C?cl=en
photoVoltPrintElecPats	15	title	Patent US8633474 - Photovoltaic device having transparent ...
photoVoltPrintElecPats	15	snippet	Jan 21, 2014 ... A photovoltaic device is disclosed that includes a transparent front ... but are not limited to, the following categories: printed electronics, display...
