filename,zone,year,month,bytes
Zone18_2009_01.zip,18,2009,01,429762056
Zone18_2009_02.zip,18,2009,02,411055451
Zone18_2009_03.zip,18,2009,03,442701542
Zone18_2009_04.zip,18,2009,04,461746877
Zone18_2009_05.zip,18,2009,05,434360607
Zone18_2009_06.zip,18,2009,06,63975604
Zone18_2009_07.zip,18,2009,07,537123539
Zone18_2009_08.zip,18,2009,08,554120363
Zone18_2009_09.zip,18,2009,09,541798770
Zone18_2009_10.zip,18,2009,10,547012663
Zone18_2009_11.zip,18,2009,11,498956540
Zone18_2009_12.zip,18,2009,12,488087590
Zone19_2009_01.zip,19,2009,01,73747767
Zone19_2009_02.zip,19,2009,02,68023564
Zone19_2009_03.zip,19,2009,03,81164428
Zone19_2009_04.zip,19,2009,04,75931237
Zone19_2009_05.zip,19,2009,05,78209896
Zone19_2009_06.zip,19,2009,06,10185339
Zone19_2009_07.zip,19,2009,07,138747402
Zone19_2009_08.zip,19,2009,08,142000205
Zone19_2009_09.zip,19,2009,09,117275088
Zone19_2009_10.zip,19,2009,10,93253519
Zone19_2009_11.zip,19,2009,11,84429595
Zone19_2009_12.zip,19,2009,12,88882041
Zone18_2010_01.zip,18,2010,01,436919603
Zone18_2010_02.gdb.zip,18,2010,02,353203838
Zone18_2010_03.zip,18,2010,03,447345541
Zone18_2010_04.zip,18,2010,04,454724486
Zone18_2010_05.zip,18,2010,05,510049625
Zone18_2010_06.zip,18,2010,06,511428638
Zone18_2010_07.zip,18,2010,07,508914868
Zone18_2010_08.gdb.zip,18,2010,08,512683984
Zone18_2010_09.zip,18,2010,09,554082385
Zone18_2010_10.gdb.zip,18,2010,10,563009800
Zone18_2010_11.zip,18,2010,11,508460959
Zone18_2010_12.zip,18,2010,12,495817482
Zone19_2010_01.zip,19,2010,01,75548004
Zone19_2010_02.gdb.zip,19,2010,02,58807798
Zone19_2010_03.zip,19,2010,03,77841316
Zone19_2010_04.zip,19,2010,04,69473521
Zone19_2010_05.zip,19,2010,05,81306078
Zone19_2010_06.zip,19,2010,06,100817789
Zone19_2010_07.zip,19,2010,07,129094282
Zone19_2010_08.gdb.zip,19,2010,08,145759991
Zone19_2010_09.zip,19,2010,09,126496943
Zone19_2010_10.zip,19,2010,10,103693478
Zone19_2010_11.zip,19,2010,11,78517308
Zone19_2010_12.zip,19,2010,12,71847600
Zone18_2011_01.gdb.zip,18,2011,01,485861631
Zone18_2011_02.gdb.zip,18,2011,02,438187525
Zone18_2011_03.gdb.zip,18,2011,03,505983680
Zone18_2011_04.gdb.zip,18,2011,04,505524131
Zone18_2011_05.gdb.zip,18,2011,05,600133932
Zone18_2011_06.gdb.zip,18,2011,06,654467968
Zone18_2011_07.gdb.zip,18,2011,07,665518328
Zone18_2011_08.gdb.zip,18,2011,08,646700802
Zone18_2011_09.gdb.zip,18,2011,09,747498008
Zone18_2011_10.gdb.zip,18,2011,10,670215546
Zone18_2011_11.gdb.zip,18,2011,11,570571570
Zone18_2011_12.gdb.zip,18,2011,12,541066009
Zone19_2011_01.gdb.zip,19,2011,01,66504494
Zone19_2011_02.gdb.zip,19,2011,02,72035006
Zone19_2011_03.gdb.zip,19,2011,03,78446781
Zone19_2011_04.gdb.zip,19,2011,04,86314844
Zone19_2011_05.gdb.zip,19,2011,05,105744673
Zone19_2011_06.gdb.zip,19,2011,06,138856414
Zone19_2011_07.gdb.zip,19,2011,07,205115683
Zone19_2011_08.gdb.zip,19,2011,08,174224270
Zone19_2011_09.gdb.zip,19,2011,09,137766792
Zone19_2011_10.gdb.zip,19,2011,10,99096315
Zone19_2011_11.gdb.zip,19,2011,11,81351327
Zone19_2011_12.gdb.zip,19,2011,12,75897165
Zone18_2012_01.gdb.zip,18,2012,01,516420140
Zone18_2012_02.gdb.zip,18,2012,02,526536222
Zone18_2012_03.gdb.zip,18,2012,03,549371491
Zone18_2012_04.gdb.zip,18,2012,04,573909214
Zone18_2012_05.gdb.zip,18,2012,05,728014034
Zone18_2012_06.gdb.zip,18,2012,06,793708823
Zone18_2012_07.gdb.zip,18,2012,07,782968075
Zone18_2012_08.gdb.zip,18,2012,08,744658151
Zone18_2012_09.gdb.zip,18,2012,09,757986869
Zone18_2012_10.gdb.zip,18,2012,10,751641329
Zone18_2012_11.gdb.zip,18,2012,11,659714502
Zone18_2012_12.gdb.zip,18,2012,12,637890889
Zone19_2012_01.gdb.zip,19,2012,01,83414050
Zone19_2012_02.gdb.zip,19,2012,02,92550027
Zone19_2012_03.gdb.zip,19,2012,03,105095535
Zone19_2012_04.gdb.zip,19,2012,04,119397810
Zone19_2012_05.gdb.zip,19,2012,05,159344818
Zone19_2012_06.gdb.zip,19,2012,06,215858860
Zone19_2012_07.gdb.zip,19,2012,07,285577563
Zone19_2012_08.gdb.zip,19,2012,08,309126069
Zone19_2012_09.gdb.zip,19,2012,09,226528153
Zone19_2012_10.gdb.zip,19,2012,10,169715120
Zone19_2012_11.gdb.zip,19,2012,11,137144166
Zone19_2012_12.gdb.zip,19,2012,12,124473814
Zone18_2013_01.gdb.zip,18,2013,01,609655848
Zone18_2013_02.gdb.zip,18,2013,02,568303150
Zone18_2013_03.gdb.zip,18,2013,03,650335733
Zone18_2013_04.gdb.zip,18,2013,04,692146660
Zone18_2013_05.gdb.zip,18,2013,05,841706044
Zone18_2013_06.gdb.zip,18,2013,06,935485260
Zone18_2013_07.gdb.zip,18,2013,07,963076611
Zone18_2013_08.gdb.zip,18,2013,08,955618495
Zone18_2013_09.gdb.zip,18,2013,09,976272642
Zone18_2013_10.gdb.zip,18,2013,10,1013627687
Zone18_2013_11.gdb.zip,18,2013,11,763061244
Zone18_2013_12.gdb.zip,18,2013,12,637941330
Zone19_2013_01.gdb.zip,19,2013,01,123664375
Zone19_2013_02.gdb.zip,19,2013,02,110325394
Zone19_2013_03.gdb.zip,19,2013,03,119156568
Zone19_2013_04.gdb.zip,19,2013,04,118768298
Zone19_2013_05.gdb.zip,19,2013,05,161537261
Zone19_2013_06.gdb.zip,19,2013,06,217372328
Zone19_2013_07.gdb.zip,19,2013,07,292463279
Zone19_2013_08.gdb.zip,19,2013,08,386136636
Zone19_2013_09.gdb.zip,19,2013,09,294400239
Zone19_2013_10.gdb.zip,19,2013,10,222206156
Zone19_2013_11.gdb.zip,19,2013,11,143727053
Zone19_2013_12.gdb.zip,19,2013,12,117756106
Zone18_2014_01.zip,18,2014,01,595119138
Zone18_2014_02.zip,18,2014,02,559157731
Zone18_2014_03.zip,18,2014,03,599729782
Zone18_2014_04.zip,18,2014,04,705307437
Zone18_2014_05.zip,18,2014,05,678028807
Zone18_2014_06.zip,18,2014,06,606620071
Zone18_2014_07.zip,18,2014,07,493944281
Zone18_2014_08.zip,18,2014,08,384220814
Zone18_2014_09.zip,18,2014,09,345305734
Zone18_2014_10.zip,18,2014,10,261756415
Zone18_2014_11.zip,18,2014,11,70299338
Zone18_2014_12.zip,18,2014,12,731490566
Zone19_2014_01.zip,19,2014,01,114240524
Zone19_2014_02.zip,19,2014,02,118064898
Zone19_2014_03.zip,19,2014,03,135557096
Zone19_2014_04.zip,19,2014,04,157105307
Zone19_2014_05.zip,19,2014,05,133470432
